5,0.432,3.75,50,81
25,1.031,3.75,50,82
50,1.513,3.75,50,65
100,2.467,3.75,50,32
5,0.09799999,33.75,50,7
25,0.483,33.75,50,1
50,0.962,33.75,50,0
100,1.922,33.75,50,0
5,0.057,33.75,100,36
25,0.24,33.75,100,7
50,0.468,33.75,100,3
100,0.926,33.75,100,1
25,1.031,3.75,100,82
50,1.485,3.75,100,82
100,2.134,3.75,100,82
25,1.026,3.75,100,99
50,1.48,3.75,100,99
100,2.127,3.75,100,99
25,1.026,3.75,50,99
100,2.466,3.75,50,32
25,0.741,5.35,50,63
50,1.218,5.35,50,31
100,2.172,5.35,50,15
25,0.886,4.35,100,99
50,1.278,4.35,100,99
100,1.841,4.35,100,99
250,3.311,3.9,150,99
25,0.988,3.9,150,99
5,0.303,5.35,150,98
25,0.723,5.35,150,99
50,1.044,5.35,150,99
100,1.506,5.35,150,99
5,0.413,3.9,150,98
50,1.045,5.35,150,99
100,2.048,3.9,150,99
25,0.8389999,4.6,150,99
50,1.211,4.6,150,99
100,1.743,4.6,150,99
5,0.302,5.35,150,98
50,1.423,3.9,150,99
100,1.507,5.35,150,99
25,0.724,5.35,150,99
5,0.556,3.9,10,21
25,2.525,3.9,10,4
50,4.988,3.9,10,2
100,9.913,3.9,10,1
5,0.531,4.6,10,15
25,2.493,4.6,10,3
50,4.946,4.6,10,1
100,9.852,4.6,10,0
5,0.516,5.35,10,11
25,2.476,5.35,10,2
50,4.925,5.35,10,1
100,9.825,5.35,10,0
5,0.414,3.9,20,89
25,1.388,3.9,20,17
50,2.605,3.9,20,8
100,5.039,3.9,20,4
5,0.361,4.6,20,64
25,1.335,4.6,20,12
50,2.551,4.6,20,6
100,4.985,4.6,20,3
5,0.325,5.35,20,47
25,1.3,5.35,20,9
50,2.516,5.35,20,4
100,4.95,5.35,20,2
5,0.414,3.9,35,98
25,1.028,3.9,35,57
50,1.713,3.9,35,28
100,3.086,3.9,35,14
5,0.351,4.6,35,98
25,0.925,4.6,35,41
50,1.612,4.6,35,20
100,2.984,4.6,35,10
5,0.302,5.35,35,98
25,0.858,5.35,35,30
50,1.545,5.35,35,15
100,2.918,5.35,35,7
5,0.414,3.9,50,98
25,0.988,3.9,50,99
50,1.468,3.9,50,60
100,2.422,3.9,50,30
5,0.351,4.6,50,98
25,0.842,4.6,50,86
50,1.318,4.6,50,43
100,2.271,4.6,50,21
5,0.302,5.35,50,98
25,0.741,5.35,50,63
50,1.218,5.35,50,31
100,2.171,5.35,50,15
5,0.413,3.9,75,98
25,0.987,3.9,75,99
50,1.424,3.9,75,99
100,2.072,3.9,75,72
5,0.351,4.6,75,98
25,0.84,4.6,75,99
50,1.21,4.6,75,99
100,1.834,4.6,75,52
5,0.302,5.35,75,98
25,0.723,5.35,75,99
50,1.053,5.35,75,76
100,1.676,5.35,75,38
5,0.413,3.9,100,98
25,0.988,3.9,100,99
50,1.423,3.9,100,99
100,2.048,3.9,100,99
5,0.351,4.6,100,98
25,0.8389999,4.6,100,99
50,1.211,4.6,100,99
100,1.744,4.6,100,99
5,0.303,5.35,100,98
25,0.723,5.35,100,99
50,1.045,5.35,100,99
100,1.523,5.35,100,73
5,0.413,3.9,140,98
25,0.987,3.9,140,99
50,1.423,3.9,140,99
100,2.047,3.9,140,99
5,0.351,4.6,140,98
25,0.84,4.6,140,99
50,1.211,4.6,140,99
100,1.743,4.6,140,99
5,0.302,5.35,140,98
25,0.724,5.35,140,99
50,1.044,5.35,140,99
100,1.507,5.35,140,99
